All-Genes	Accession-1	Names
peaD	b4508	peaD // ybcD // b4508 // ECK0532
pepA	b4260	pepA // carP // xerB // b4260 // ECK4253
pepB	b2523	pepB // yfhI // b2523 // ECK2520
pepD	b0237	pepD // pepH // b0237 // ECK0238
pepE	b4021	pepE // b4021 // ECK4013
pepN	b0932	pepN // b0932 // ECK0923
pepP	b2908	pepP // b2908 // ECK2903
pepQ	b3847	pepQ // b3847 // ECK3839
pepT	b1127	pepT // b1127 // ECK1113
perR	b0254	perR // b0254 // ECK0256
pfkA	b3916	pfkA // b3916 // ECK3908
pfkB	b1723	pfkB // b1723 // ECK1721
pflA	b0902	pflA // act // b0902 // ECK0893
pflB	b0903	pflB // pfl // b0903 // ECK0894
pflC	b3952	pflC // yijM // b3952 // ECK3943
pflD	b3951	pflD // yijL // b3951 // ECK3942
pgaA	b1024	pgaA // hmsH // ycdS // b1024 // ECK1014
pgaB	b1023	pgaB // hmsF // ycdR // b1023 // ECK1013
pgaC	b1022	pgaC // hmsR // ycdQ // b1022 // ECK1012
pgaD	b1021	pgaD // hmsS // ycdP // b1021 // ECK1011
pgi	b4025	pgi // b4025 // ECK4017
pgk	b2926	pgk // b2926 // ECK2922
pgl	b0767	pgl // ybhE // b0767 // ECK0756
pgm	b0688	pgm // blu // b0688 // ECK0676
pgpA	b0418	pgpA // yajN // b0418 // ECK0412
pgpB	b1278	pgpB // b1278 // ECK1273
pgpC	b2560	pgpC // yfhB // b2560 // ECK2558
pgrR	b1328	pgrR // ycjZ // b1328 // ECK1325
pgsA	b1912	pgsA // b1912 // ECK1911
pheA	b2599	pheA // b2599 // ECK2596
pheL	b2598	pheL // pheAE // b2598 // ECK2595
pheM	b1715	pheM // phtL // b1715 // ECK1713
pheP	b0576	pheP // b0576 // ECK0568
pheS	b1714	pheS // phe-act // b1714 // ECK1712
pheT	b1713	pheT // b1713 // ECK1711
pheU	b4134	pheU // pheR // pheW // b4134 // ECK4128
pheV	b2967	pheV // pheC // b2967 // ECK2962
phnC	b4106	phnC // b4106 // ECK4099
phnD	b4105	phnD // phn // psiD // b4105 // ECK4098
phnE1	b4583	phnE1 // ECK4097 // b4103 // b4104 // b4583 // ECK4096
phnF	b4102	phnF // b4102 // ECK4095
phnG	b4101	phnG // b4101 // ECK4094
phnH	b4100	phnH // b4100 // ECK4093
phnI	b4099	phnI // b4099 // ECK4092
phnJ	b4098	phnJ // b4098 // ECK4091
phnK	b4097	phnK // b4097 // ECK4090
phnL	b4096	phnL // b4096 // ECK4089
phnM	b4095	phnM // b4095 // ECK4088
phnN	b4094	phnN // b4094 // ECK4087
phnO	b4093	phnO // b4093 // ECK4086
phnP	b4092	phnP // b4092 // ECK4085
phoA	b0383	phoA // psiA // b0383 // ECK0378
phoB	b0399	phoB // phoRc // phoT // b0399 // ECK0393
phoE	b0241	phoE // ompE // b0241 // ECK0242
phoH	b1020	phoH // psiH // b1020 // ECK1010
phoP	b1130	phoP // b1130 // ECK1116
phoQ	b1129	phoQ // b1129 // ECK1115
phoR	b0400	phoR // R1pho // phoR1 // nmpB // b0400 // ECK0394
phoU	b3724	phoU // phoT // pst // b3724 // ECK3717
php	b3379	UNCLASSIFIED
phr	b0708	phr // phrB // b0708 // ECK0697
pinE	b1158	pinE // pin // b1158 // ECK1144
pinH	b2648	pinH // ypjG // b2648 // ECK2645
pinQ	b1545	pinQ // ydfL // b1545 // ECK1538
pinR	b1374	pinR // ynaD // b1374 // ECK1369
pitA	b3493	pitA // pit // b3493 // ECK3478
pitB	b2987	pitB // b2987 // ECK2981
plaP	b2014	plaP // yeeF // b2014 // ECK2008
plaR	b3574	plaR // yiaJ // b3574 // ECK3563
pldA	b3821	pldA // b3821 // ECK3815
pldB	b3825	pldB // b3825 // ECK3819
pliG	b1178	pliG // ycgK // b1178 // ECK1166
plsB	b4041	plsB // b4041 // ECK4033
plsC	b3018	plsC // parF // b3018 // ECK3009
plsX	b1090	plsX // b1090 // ECK1076
plsY	b3059	plsY // ygiH // b3059 // ECK3049
pmrD	b2259	pmrD // b2259 // ECK2253
pmrR	b4703	UNCLASSIFIED
pncA	b1768	pncA // nam // ydjB // b1768 // ECK1766
pncB	b0931	pncB // b0931 // ECK0922
pncC	b2700	pncC // ygaD // b2700 // ECK2695
pnp	b3164	pnp // bfl // b3164 // ECK3152
pntA	b1603	pntA // b1603 // ECK1598
pntB	b1602	pntB // b1602 // ECK1597
pnuC	b0751	pnuC // b0751 // ECK0740
polA	b3863	polA // resA // b3863 // ECK3855
polB	b0060	polB // dinA // b0060 // ECK0061
potA	b1126	potA // b1126 // ECK1112
potB	b1125	potB // b1125 // ECK1111
potC	b1124	potC // b1124 // ECK1110
potD	b1123	potD // b1123 // ECK1109
potE	b0692	potE // b0692 // ECK0680
potF	b0854	potF // b0854 // ECK0845
potG	b0855	potG // b0855 // ECK0846
potH	b0856	potH // b0856 // ECK0847
potI	b0857	potI // b0857 // ECK0848
poxB	b0871	poxB // b0871 // ECK0862
ppa	b4226	ppa // b4226 // ECK4222
ppc	b3956	ppc // asp // glu // b3956 // ECK3947
ppdA	b2826	ppdA // b2826 // ECK2822
ppdB	b2825	ppdB // ygdC // b2825 // ECK2821
ppdC	b2823	ppdC // ygdA // b2823 // ECK2819
ppdD	b0108	ppdD // b0108 // ECK0107
pphA	b1838	pphA // yebX // prpA // b1838 // ECK1837
pphB	b2734	pphB // ygbH // prpB // b2734 // ECK2729
pphC	b2072	pphC // yegK // b2072 // ECK2066
ppiA	b3363	ppiA // rot // rotA // b3363 // ECK3351
ppiB	b0525	ppiB // b0525 // ECK0518
ppiC	b3775	ppiC // parvA // b3775 // ECK3767
ppiD	b0441	ppiD // ybaU // b0441 // ECK0435
ppk	b2501	ppk // b2501 // ECK2497
ppnN	b2795	ppnN // ygdH // b2795 // ECK2790
ppnP	b0391	UNCLASSIFIED
pppA	b2972	pppA // yghH // b2972 // ECK2967
ppsA	b1702	ppsA // pps // b1702 // ECK1700
ppsR	b1703	ppsR // ydiA // b1703 // ECK1701
pptA	b1461	pptA // ydcE // b1461 // ECK1455
ppx	b2502	ppx // b2502 // ECK2498
pqiA	b0950	pqiA // pqi5 // pqi5A // b0950 // ECK0941
pqiB	b0951	pqiB // pqi5 // pqi5B // b0951 // ECK0942
pqiC	b0952	pqiC // ymbA // b0952 // ECK0943
pqqL	b1494	UNCLASSIFIED
pqqU	b1451	pqqU // yncD // b1451 // ECK1445
prc	b1830	prc // tsp // b1830 // ECK1829
preA	b2147	preA // yeiA // b2147 // ECK2140
preT	b2146	preT // yeiT // b2146 // ECK2139
prfA	b1211	prfA // ups? // sueB // uar // b1211 // ECK1199
prfB	b2891	prfB // supK // b2891 // ECK2886
prfC	b4375	prfC // miaD // tos // b4375 // ECK4366
prfH	b0236	prfH // b0236 // ECK0237
priA	b3935	priA // srgA // b3935 // ECK3927
priB	b4201	priB // b4201 // ECK4197
priC	b0467	priC // b0467 // ECK0461
prkB	b3355	UNCLASSIFIED
prlC	b3498	prlC // opdA // b3498 // ECK3483
prlF	b3129	prlF // sohA // prlFA // b3129 // ECK3117
prmA	b3259	prmA // yhdI // prm-1 // b3259 // ECK3246
prmB	b2330	prmB // yfcB // b2330 // ECK2324
prmC	b1212	prmC // hemK // b1212 // ECK1200
proA	b0243	proA // pro(1) // pro1 // b0243 // ECK0244
proB	b0242	proB // pro(2) // pro2 // b0242 // ECK0243
proC	b0386	proC // pro(3) // Pro2 // pro3 // b0386 // ECK0381
proK	b3545	proK // proV // b3545 // ECK3532
proL	b2189	proL // proW // b2189 // ECK2183
proM	b3799	proM // proU // b3799 // ECK3792
proP	b4111	proP // b4111 // ECK4104
proQ	b1831	proQ // yoeC // yobE // yebJ // b1831 // ECK1830
proS	b0194	proS // drp // drpA // b0194 // ECK0194
proV	b2677	proV // osrA // proU // b2677 // ECK2671
proW	b2678	proW // osrA // proU // b2678 // ECK2672
proX	b2679	proX // osrA // proU // b2679 // ECK2673
proY	b0402	proY // yajM // b0402 // ECK0396
prpB	b0331	prpB // yahQ // b0331 // ECK0329
prpC	b0333	prpC // yzzD // yahS // b0333 // ECK0330
prpD	b0334	prpD // yahT // acnC // b0334 // ECK0331
prpE	b0335	prpE // yahU // b0335 // ECK0332
prpR	b0330	prpR // yahP // b0330 // ECK0328
prs	b1207	prs // dnaR // prsA // b1207 // ECK1195
psaA	b4645	psaA // b4645 // ECK4465
psd	b4160	psd // b4160 // ECK4156
psiE	b4030	psiE // yjbA // b4030 // ECK4022
psiF	b0384	psiF // b0384 // ECK0379
pspA	b1304	pspA // cog // b1304 // ECK1299
pspB	b1305	pspB // b1305 // ECK1300
pspC	b1306	pspC // b1306 // ECK1301
pspD	b1307	pspD // b1307 // ECK1302
pspE	b1308	UNCLASSIFIED
pspF	b1303	pspF // ycjB // b1303 // ECK1298
pspG	b4050	pspG // yjbO // b4050 // ECK4042
pspH	b4758	pspH // b4758 // ECK4615
pssA	b2585	pssA // pss // b2585 // ECK2583
pssL	b4782	pssL // b4782 // ECK4639
pstA	b3726	pstA // R2pho // phoR2 // phoR2b // phoT // b3726 // ECK3719
pstB	b3725	pstB // phoT // b3725 // ECK3718
pstC	b3727	pstC // phoW // b3727 // ECK3720
pstS	b3728	pstS // R2pho // T // nmpA // phoR2a // phoS // b3728 // ECK3721
psuG	b2165	psuG // yeiN // pscG // b2165 // ECK2158
psuK	b2166	psuK // yeiC // pscK // b2166 // ECK2159
psuT	b2164	psuT // pscT // yeiM // b2164 // ECK2157
pta	b2297	pta // b2297 // ECK2291
pth	b1204	pth // rap // b1204 // ECK1192
ptrA	b2821	ptrA // ptr // b2821 // ECK2817
ptrB	b1845	ptrB // tlp // b1845 // ECK1846
ptrR	b1526	ptrR // yneJ // b1526 // ECK1519
ptsA	b3947	ptsA // yijH // frwA // pt1A // b3947 // ECK3939
ptsG	b1101	ptsG // umgC // umg // tgl // Cr // car // cat // catB2 // glcA // gptA // b1101 // ECK1087
ptsH	b2415	ptsH // ctr // hpr // b2415 // ECK2410
ptsI	b2416	ptsI // ctr // b2416 // ECK2411
ptsN	b3204	ptsN // yhbI // rpoP // b3204 // ECK3193
ptsP	b2829	ptsP // ygdO // ygdF // b2829 // ECK2825
punC	b1660	punC // ydhC // b1660 // ECK1656
punR	b1659	punR // ydhB // b1659 // ECK1655
purA	b4177	purA // adeK // b4177 // ECK4173
purB	b1131	purB // ade(h) // ade // b1131 // ECK1117
purC	b2476	purC // ade(g) // ade // b2476 // ECK2472
purD	b4005	purD // adth(a) // adth // b4005 // ECK3997
purE	b0523	purE // ade(f) // Pur2 // ade3 // ade // b0523 // ECK0516
purF	b2312	purF // ade // purC // b2312 // ECK2306
purH	b4006	purH // b4006 // ECK3998
purK	b0522	purK // purE2 // b0522 // ECK0515
purL	b2557	purL // purI // b2557 // ECK2555
purM	b2499	purM // purG // purI // b2499 // ECK2495
purN	b2500	purN // ade(c) // ade // b2500 // ECK2496
purR	b1658	purR // b1658 // ECK1654
purT	b1849	purT // b1849 // ECK1850
purU	b1232	purU // ychI // tgs // b1232 // ECK1227
putA	b1014	putA // putC // poaA // b1014 // ECK1005
putP	b1015	putP // putC // b1015 // ECK1006
puuA	b1297	puuA // ycjK // b1297 // ECK1292
puuB	b1301	puuB // ycjA // ordL // b1301 // ECK1296
puuC	b1300	puuC // aldH // b1300 // ECK1295
puuD	b1298	puuD // ycjL // b1298 // ECK1293
puuE	b1302	puuE // goaG // b1302 // ECK1297
puuP	b1296	puuP // ycjJ // b1296 // ECK1291
puuR	b1299	puuR // ycjC // b1299 // ECK1294
pxpA	b0713	pxpA // ybgL // b0713 // ECK0702
pxpB	b0711	pxpB // ybgJ // b0711 // ECK0700
pxpC	b0712	pxpC // ybgK // b0712 // ECK0701
pykA	b1854	pykA // b1854 // ECK1855
pykF	b1676	pykF // b1676 // ECK1672
pyrB	b4245	pyrB // b4245 // ECK4240
pyrC	b1062	pyrC // b1062 // ECK1047
pyrD	b0945	pyrD // b0945 // ECK0936
pyrE	b3642	pyrE // b3642 // ECK3632
pyrF	b1281	pyrF // b1281 // ECK1276
pyrG	b2780	pyrG // b2780 // ECK2774
pyrH	b0171	pyrH // umk // smbA // b0171 // ECK0170
pyrI	b4244	pyrI // b4244 // ECK4239
pyrL	b4246	pyrL // pyrE- // pyrE-LP // b4246 // ECK4241
pyrR	b2381	pyrR // ypdB // b2381 // ECK2377
pyrS	b2380	pyrS // ypdA // b2380 // ECK2376
qmcA	b0489	qmcA // ybbK // b0489 // ECK0483
qorA	b4051	qorA // hzc // hcz // qor // b4051 // ECK4043
qorB	b4211	qorB // ytfG // b4211 // ECK4207
qseB	b3025	qseB // ygiX // b3025 // ECK3016
qseC	b3026	qseC // ygiY // b3026 // ECK3017
qseG	b2555	UNCLASSIFIED
queA	b0405	queA // tsaA // b0405 // ECK0399
queC	b0444	queC // ybaX // b0444 // ECK0438
queD	b2765	queD // ygcM // sscR // b2765 // ECK2760
queE	b2777	UNCLASSIFIED
queF	b2794	queF // yqcD // b2794 // ECK2789
queG	b4166	queG // yjeS // b4166 // ECK4162
quuD	b0551	quuD // ybcQ // b0551 // ECK0543
racC	b1351	racC // sbcA // b1351 // ECK1348
racR	b1356	racR // rarC // ydaR // b1356 // ECK1354
radA	b4389	radA // sms // b4389 // ECK4381
radD	b2184	radD // yejJ // yejI // yejH // b2184 // ECK2178
raiA	b2597	raiA // urf1 // yfiA // pY // b2597 // ECK2594
raiZ	b4805	UNCLASSIFIED
ralA	b4714	ralA // b4714 // ECK4571
ralR	b1348	ralR // ydaB // lar // b1348 // ECK1345
rapA	b0059	rapA // yabA // hepA // b0059 // ECK0060
rapZ	b3205	rapZ // yhbJ // b3205 // ECK3194
rarA	b0892	rarA // ycaJ // mgsA // b0892 // ECK0883
rarD	b3819	rarD // yigH // b3819 // ECK3813
ratA	b2619	ratA // yfjG // b2619 // ECK2615
ravA	b3746	ravA // yieN // b3746 // ECK3740
rayT	b0228	rayT // yafM // b0228 // ECK0229
rbbA	b3486	rbbA // yhiG // yhiH // b3486 // ECK3471
rbfA	b3167	rbfA // sdr-43 // yhbB // b3167 // ECK3156
rbn	b2268	rbn // zipD // ecoZ // rnz // elaC // b2268 // ECK2262
rbsA	b3749	rbsA // rbsT // rbsP // b3749 // ECK3743
rbsB	b3751	rbsB // prlB // rbsP // b3751 // ECK3745
rbsC	b3750	rbsC // rbsP // rbsT // b3750 // ECK3744
rbsD	b3748	rbsD // rbsP // b3748 // ECK3742
rbsK	b3752	rbsK // b3752 // ECK3746
rbsR	b3753	rbsR // b3753 // ECK3747
rbsZ	b4804	rbsZ // b4804 // ECK4661
rcbA	b1347	rcbA // ydaC // b1347 // ECK1344
rcdA	b0846	rcdA // ybjK // b0846 // ECK0836
rcdB	b3521	rcdB // yhjC // b3521 // ECK3506
rclA	b0304	rclA // ykgC // b0304 // ECK0303
rclB	b0303	rclB // ykgI // b0303 // ECK0302
rclC	b0301	rclC // ykgB // b0301 // ECK0301
rclR	b0305	rclR // ykgD // b0305 // ECK0304
rcnA	b2106	rcnA // yohM // b2106 // ECK2099
rcnB	b2107	rcnB // yohN // b2107 // ECK2100
rcnR	b2105	rcnR // yohL // b2105 // ECK2098
rcsA	b1951	rcsA // cpsR // b1951 // ECK1949
rcsB	b2217	rcsB // b2217 // ECK2210
rcsC	b2218	rcsC // b2218 // ECK2211
rcsD	b2216	rcsD // yojP // yojQ // yojN // b2216 // ECK2209
rcsF	b0196	rcsF // b0196 // ECK0196
rdcA	b4109	rdcA // yjdA // crfC // b4109 // ECK4102
rdcB	b4110	rdcB // yjcZ // b4110 // ECK4103
rdgB	b2954	rdgB // yggV // b2954 // ECK2949
rdgC	b0393	rdgC // yaiD // b0393 // ECK0388
rdlA	b4420	rdlA // b4420 // ECK1205
rdlB	b4422	rdlB // b4422 // ECK1207
rdlC	b4424	rdlC // b4424 // ECK1209
rdlD	b4454	rdlD // b4454 // ECK3525
recA	b2699	recA // zab // umuB // tif // lexB // recH // rnmB // srf // b2699 // ECK2694
recB	b2820	recB // ior // rorA // b2820 // ECK2816
recC	b2822	recC // b2822 // ECK2818
recD	b2819	recD // hopE // b2819 // ECK2815
recE	b1350	recE // rmuB // rac // sbcA // b1350 // ECK1347
recF	b3700	recF // uvrF // b3700 // ECK3692
recG	b3652	recG // radC // spoV // b3652 // ECK3642
recJ	b2892	recJ // b2892 // ECK2887
recN	b2616	recN // radB // b2616 // ECK2612
recO	b2565	recO // b2565 // ECK2563
recQ	b3822	recQ // b3822 // ECK3816
recR	b0472	recR // b0472 // ECK0466
recT	b1349	recT // b1349 // ECK1346
recX	b2698	recX // oraA // b2698 // ECK2693
relA	b2784	relA // RC // b2784 // ECK2778
relB	b1564	relB // RC // b1564 // ECK1558
relE	b1563	relE // b1563 // ECK1557
rem	b1561	rem // b1561 // ECK1555
renD	b0542	renD // ybcE // b0542 // ECK0533
rep	b3778	rep // dasC // mbrA // mmrA // b3778 // ECK3770
rfaD	b3619	rfaD // waaD // hldD // htrM // nbsB // b3619 // ECK3609
rfaH	b3842	rfaH // hlyT // sfrB // b3842 // ECK3834
rfbA	b2039	rfbA // rmlA // som // b2039 // ECK2033
rfbB	b2041	rfbB // som // rmlB // b2041 // ECK2035
rfbC	b2038	rfbC // rfbD // rmlC // b2038 // ECK2032
rfbD	b2040	rfbD // rmlD // b2040 // ECK2034
rfbX	b2037	rfbX // wzx // wzxB // b2037 // ECK2031
rfe	b3784	rfe // wecA // b3784 // ECK3776
rffC	b3790	rffC // rff // wecD // yifH // b3790 // ECK3782
rffG	b3788	rffG // rff // b3788 // ECK3780
rffH	b3789	rffH // yifG // b3789 // ECK3781
rffM	b3794	rffM // rff // wecG // b3794 // ECK3787
rflP	b1707	rflP // ydiV // b1707 // ECK1705
rhaA	b3903	rhaA // b3903 // ECK3896
rhaB	b3904	rhaB // b3904 // ECK3897
rhaD	b3902	rhaD // b3902 // ECK3895
rhaM	b3901	rhaM // yiiL // b3901 // ECK3894
rhaR	b3906	rhaR // rhaC1 // b3906 // ECK3899
rhaS	b3905	rhaS // rhaC2 // b3905 // ECK3898
rhaT	b3907	rhaT // b3907 // ECK3900
rhlB	b3780	rhlB // mmrA // b3780 // ECK3772
rhlE	b0797	rhlE // b0797 // ECK0786
rhmD	b2247	rhmD // yfaW // b2247 // ECK2240
rho	b3783	rho // nusD // sun // tsu // rnsC // nitA // psu // psuA // sbaA // b3783 // ECK3775
rhoL	b3782	rhoL // b3782 // ECK3774
rhsA	b3593	UNCLASSIFIED
rhsB	b3482	UNCLASSIFIED
rhsC	b0700	rhsC // b0700 // ECK0689
rhsD	b0497	UNCLASSIFIED
rhsE	b1456	rhsE // b1456 // ECK1450
rhtA	b0813	rhtA // ybiF // b0813 // ECK0802
rhtB	b3824	rhtB // yigK // b3824 // ECK3818
rhtC	b3823	rhtC // yigJ // b3823 // ECK3817
ribA	b1277	ribA // b1277 // ECK1272
ribB	b3041	ribB // luxH // htrP // luxH-l // b3041 // ECK3032
ribC	b1662	ribC // ribE // b1662 // ECK1658
ribD	b0414	ribD // nusII // ribG // ybaE // b0414 // ECK0408
ribE	b0415	ribE // nusIII // ribH // ybaF // b0415 // ECK0409
ribF	b0025	ribF // yaaC // b0025 // ECK0026
ridA	b4243	ridA // yjgF // b4243 // ECK4238
rihA	b0651	rihA // ybeK // b0651 // ECK0644
rihB	b2162	rihB // yeiK // b2162 // ECK2155
rihC	b0030	rihC // yaaF // b0030 // ECK0031
rimI	b4373	rimI // b4373 // ECK4364
rimJ	b1066	rimJ // tcp // b1066 // ECK1051
rimK	b0852	rimK // nek // b0852 // ECK0843
rimL	b1427	rimL // b1427 // ECK1420
rimM	b2608	rimM // yfjA // b2608 // ECK2605
rimO	b0835	rimO // yliG // b0835 // ECK0825
rimP	b3170	rimP // yhbC // b3170 // ECK3159
rirA	b4760	rirA // b4760 // ECK4617
rlhA	b1435	rlhA // ydcP // b1435 // ECK1429
rlmA	b1822	rlmA // rrmA // yebH // b1822 // ECK1820
rlmB	b4180	rlmB // yjfH // b4180 // ECK4176
rlmC	b0859	rlmC // ybjF // rumB // b0859 // ECK0850
rlmD	b2785	rlmD // ygcA // rumA // b2785 // ECK2779
rlmE	b3179	rlmE // ftsJ // mrsF // rrmJ // b3179 // ECK3168
rlmF	b0807	rlmF // ybiN // b0807 // ECK0796
rlmG	b3084	rlmG // ygjO // b3084 // ECK3074
rlmH	b0636	rlmH // ybeA // b0636 // ECK0629
rlmI	b0967	rlmI // yccW // b0967 // ECK0958
rlmJ	b3499	rlmJ // yhiR // b3499 // ECK3484
rlmL	b0948	rlmL // ycbY // rlmK // rlmKL // b0948 // ECK0939
rlmM	b2806	rlmM // ygdE // b2806 // ECK2801
rlmN	b2517	rlmN // yfgB // b2517 // ECK2513
rlpA	b0633	UNCLASSIFIED
rluA	b0058	rluA // yabO // b0058 // ECK0059
rluB	b1269	rluB // yciL // b1269 // ECK1263
rluC	b1086	rluC // yceC // b1086 // ECK1071
rluD	b2594	rluD // yfiI // sfhB // b2594 // ECK2592
rluE	b1135	rluE // ymfC // b1135 // ECK1121
rluF	b4022	rluF // yjbC // b4022 // ECK4014
rmf	b0953	rmf // res // rimF // b0953 // ECK0944
rmuC	b3832	UNCLASSIFIED
rna	b0611	rna // rnsA // b0611 // ECK0604
rnb	b1286	rnb // b1286 // ECK1281
rnc	b2567	rnc // b2567 // ECK2565
rnd	b1804	rnd // b1804 // ECK1802
rne	b1084	rne // smbB // ams // hmp1 // b1084 // ECK1069
rng	b3247	rng // adhR // cafA // yhdF // b3247 // ECK3235
rnhA	b0214	rnhA // cer // sin // dasF // herA // rnh // sdrA // b0214 // ECK0214
rnhB	b0183	rnhB // b0183 // ECK0182
rnk	b0610	rnk // b0610 // ECK0603
rnlA	b2630	rnlA // yfjN // std // b2630 // ECK2626
rnlB	b2631	rnlB // yfjO // b2631 // ECK2627
rnm	b1266	rnm // trpH // yciV // b1266 // ECK1260
rnpA	b3704	rnpA // b3704 // ECK3696
rnpB	b3123	rnpB // b3123 // ECK3111
rnr	b4179	rnr // vacB // yjeC // b4179 // ECK4175
rnt	b1652	rnt // b1652 // ECK1648
rob	b4396	rob // cbpB // robA // b4396 // ECK4388
rodZ	b2516	UNCLASSIFIED
rof	b0189	rof // yaeO // b0189 // ECK0188
roxA	b1128	roxA // ycfD // b1128 // ECK1114
rpe	b3386	rpe // dod // yhfD // b3386 // ECK3373
rph	b3643	rph // b3643 // ECK3633
rpiA	b2914	rpiA // ygfC // b2914 // ECK2910
rpiB	b4090	rpiB // yjcA // alsI // b4090 // ECK4083
rplA	b3984	rplA // rpy // b3984 // ECK3975
rplB	b3317	rplB // b3317 // ECK3304
rplC	b3320	rplC // b3320 // ECK3307
rplD	b3319	rplD // eryA // b3319 // ECK3306
rplE	b3308	rplE // b3308 // ECK3295
rplF	b3305	rplF // b3305 // ECK3292
rplI	b4203	rplI // b4203 // ECK4199
rplJ	b3985	rplJ // b3985 // ECK3976
rplK	b3983	rplK // relC // b3983 // ECK3974
rplL	b3986	rplL // b3986 // ECK3977
rplM	b3231	rplM // b3231 // ECK3220
rplN	b3310	rplN // b3310 // ECK3297
rplO	b3301	rplO // b3301 // ECK3288
rplP	b3313	rplP // b3313 // ECK3300
rplQ	b3294	rplQ // b3294 // ECK3281
rplR	b3304	rplR // b3304 // ECK3291
rplS	b2606	rplS // b2606 // ECK2603
rplT	b1716	rplT // pdzA // b1716 // ECK1714
rplU	b3186	rplU // b3186 // ECK3175
rplV	b3315	rplV // eryB // b3315 // ECK3302
rplW	b3318	rplW // b3318 // ECK3305
rplX	b3309	rplX // b3309 // ECK3296
rplY	b2185	rplY // b2185 // ECK2179
rpmA	b3185	rpmA // rpz // b3185 // ECK3174
rpmB	b3637	rpmB // b3637 // ECK3627
rpmC	b3312	rpmC // b3312 // ECK3299
rpmD	b3302	rpmD // b3302 // ECK3289
rpmE	b3936	rpmE // b3936 // ECK3928
rpmF	b1089	rpmF // b1089 // ECK1075
rpmG	b3636	rpmG // b3636 // ECK3626
rpmH	b3703	rpmH // rimA // ssaF // b3703 // ECK3695
rpmI	b1717	rpmI // b1717 // ECK1715
rpmJ	b3299	rpmJ // secX // b3299 // ECK3286
rpnA	b3411	rpnA // yhgA // b3411 // ECK3398
rpnB	b2305	rpnB // yfcI // b2305 // ECK2299
rpnC	b0132	rpnC // yadD // b0132 // ECK0131
rpnD	b4584	rpnD // yjiP // b4338 // ECK4330 // yjiQ // b4339 // b4584 // ECK4329
rpnE	b2244	UNCLASSIFIED
rpoA	b3295	rpoA // pez // phs // sez // b3295 // ECK3282
rpoB	b3987	rpoB // sdgB // tabD // stv // stl // ftsR // groN // nitB // rif // ron // b3987 // ECK3978
rpoC	b3988	rpoC // tabB // b3988 // ECK3979
rpoD	b3067	rpoD // alt // b3067 // ECK3057
rpoE	b2573	rpoE // sigE // b2573 // ECK2571
rpoH	b3461	rpoH // fam // hin // htpR // b3461 // ECK3445
rpoN	b3202	rpoN // glnF // ntrA // b3202 // ECK3191
rpoS	b2741	rpoS // sigS // otsX // abrD // appR // csi2 // dpeB // katF // nur // b2741 // ECK2736
rpoZ	b3649	rpoZ // spoS // b3649 // ECK3639
rppH	b2830	rppH // ygdP // nudH // b2830 // ECK2826
rprA	b4431	rprA // psrA5 // IS083 // b4431 // ECK1686
rpsA	b0911	rpsA // ssyF // b0911 // ECK0902
rpsB	b0169	rpsB // b0169 // ECK0168
rpsC	b3314	rpsC // b3314 // ECK3301
rpsD	b3296	rpsD // ramA // sud(2) // sud2 // b3296 // ECK3283
rpsE	b3303	rpsE // spc // eps // spcA // b3303 // ECK3290
rpsF	b4200	rpsF // sdgH // b4200 // ECK4196
rpsG	b3341	rpsG // b3341 // ECK3328
rpsH	b3306	rpsH // b3306 // ECK3293
rpsI	b3230	rpsI // b3230 // ECK3219
rpsJ	b3321	rpsJ // nusE // b3321 // ECK3308
rpsK	b3297	rpsK // b3297 // ECK3284
rpsL	b3342	rpsL // asuB // strA // b3342 // ECK3329
rpsM	b3298	rpsM // b3298 // ECK3285
rpsN	b3307	rpsN // b3307 // ECK3294
rpsO	b3165	rpsO // secC // b3165 // ECK3154
rpsP	b2609	rpsP // b2609 // ECK2606
rpsQ	b3311	rpsQ // neaA // b3311 // ECK3298
rpsR	b4202	rpsR // b4202 // ECK4198
rpsS	b3316	rpsS // b3316 // ECK3303
rpsT	b0023	rpsT // supS // sup(s20) // supS20 // b0023 // ECK0024
rpsU	b3065	rpsU // b3065 // ECK3055
rraA	b3929	rraA // menG // yiiV // b3929 // ECK3921
rraB	b4255	rraB // yjgD // b4255 // ECK4248
rrfA	b3855	rrfA // b3855 // ECK3847
rrfB	b3971	rrfB // b3971 // ECK3963
rrfC	b3759	rrfC // b3759 // ECK3753
rrfD	b3274	rrfD // b3274 // ECK3261
rrfE	b4010	rrfE // b4010 // ECK4002
rrfF	b3272	rrfF // rrfDbeta // rrvD // b3272 // ECK3259
rrfG	b2588	rrfG // b2588 // ECK2586
rrfH	b0205	rrfH // b0205 // ECK0205
rrlA	b3854	rrlA // b3854 // ECK3846
rrlB	b3970	rrlB // b3970 // ECK3962
rrlC	b3758	rrlC // b3758 // ECK3752
rrlD	b3275	rrlD // b3275 // ECK3262
rrlE	b4009	rrlE // b4009 // ECK4001
rrlG	b2589	rrlG // b2589 // ECK2587
rrlH	b0204	rrlH // b0204 // ECK0204
rrrD	b0555	rrrD // lycV // ybcS // b0555 // ECK0546
rrrQ	b1554	rrrQ // ydfQ // b1554 // ECK1548
rrsA	b3851	rrsA // b3851 // ECK3843
rrsB	b3968	rrsB // b3968 // ECK3960
rrsC	b3756	rrsC // b3756 // ECK3750
rrsD	b3278	rrsD // b3278 // ECK3265
